column_0,2008_SW,2008_SW_ct,2008_no_SW,2008_no_SW_ct,2009_SW,2009_SW_ct,2009_no_SW,2009_no_SW_ct,2010_SW,2010_SW_ct,2010_no_SW,2010_no_SW_ct,2011_SW,2011_SW_ct,2011_no_SW,2011_no_SW_ct,2012_SW,2012_SW_ct,2012_no_SW,2012_no_SW_ct,2013_SW,2013_SW_ct,2013_no_SW,2013_no_SW_ct,2014_SW,2014_SW_ct,2014_no_SW,2014_no_SW_ct,2015_SW,2015_SW_ct,2015_no_SW,2015_no_SW_ct,2016_SW,2016_SW_ct,2016_no_SW,2016_no_SW_ct,2017_SW,2017_SW_ct,2017_no_SW,2017_no_SW_ct,2018_SW,2018_SW_ct,2018_no_SW,2018_no_SW_ct,2019_SW,2019_SW_ct,2019_no_SW,2019_no_SW_ct,2020_SW,2020_SW_ct,2020_no_SW,2020_no_SW_ct
"I""",3188,This,9624,can't,4412,has,10165,wanted,4340,could,9972,bad,4233,didn't,9500,bad,4118,My,8814,called,3820,other,8402,bar,3662,can,7981,room,3413,some,7679,menu,3314,never,7577,menu,3292,did,7775,eat,3236,her,7928,3,3169,,,,,,,
87,i,6178,wait,2577,even,7699,new,3174,also,9615,small,4311,didn't,9861,experience,4320,This,9922,room,4183,could,9330,called,3965,could,8555,times,3815,ordered,8328,friendly,3619,never,7903,food.,3379,never,7646,bar,3270,more,7565,Great,3254,never,7727,work,3222,ordered,7806,tried,3162
88,always,5968,actually,2576,This,7319,room,3156,didn't,9608,cheese,4252,This,9835,room,4273,has,9706,small,4159,than,9264,small,3948,has,8455,find,3803,could,8225,find,3584,don't,7856,bad,3375,don't,7569,pizza,3249,could,7523,think,3250,do,7553,food.,3215,has,7687,think,3127
89,do,5924,looking,2558,service,7153,worth,3103,I've,9511,experience,4228,I'm,9790,can't,4209,do,9691,night,4069,do,9149,bit,3915,ordered,8433,friendly,3775,never,8122,room,3574,came,7728,menu,3370,did,7529,times,3244,did,7479,bad,3231,more,7487,since,3215,don't,7619,left,3095
90,got,5872,probably,2517,pretty,7037,bad,3099,he,9369,new,4198,could,9665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I""",4163,didn't,9684,can't,3941,has,9097,day,3840,never,8419,day,3704,do,8016,food.,3550,could,7601,find,3369,told,7525,since,3236,order,7426,left,3188,after,7422,car,3212,My,7510,find,3082,,,,,,,,,,,,,,,
91,We,5696,room,2514,i,7023,table,3062,could,9277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I""",4154,them,9658,cheese,4132,it's,9380,lot,3932,My,8914,lot,3829,do,8363,recommend,3704,came,7878,day,3550,do,7467,day,3295,said,7488,day,3208,don't,7373,since,3170,could,7395,manager,3211,could,7480,put,3060,,,,,,,,,,,
92,much,5693,lunch,2492,do,6886,looking,3033,do,9253,wanted,4141,also,9577,small,4096,ordered,9350,every,3927,did,8799,night,3805,-,8133,customer,3662,has,7803,times,3505,after,7456,bar,3238,order,7455,bad,3205,some,7356,room,3153,other,7384,left,3195,can,7395,every,3052
93,no,5682,favorite,2476,much,6818,beer,3013,little,9184,lot,4100,do,9565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The""",4047,also,9339,tried,3915,ordered,8790,tried,3803,did,8078,tried,3627,did,7752,something,3482,did,7412,3,3221,could,7441,3,3178,after,7350,manager,3148,don't,7373,think,3193,really,7345,pizza,3052,,,,,,,,,,,,,,,
94,people,5555,things,2475,didn't,6600,"good,",2989,them,9045,room,4100,ordered,9241,every,4002,My,9233,times,3889,also,8718,times,3783,came,8052,food.,3625,after,7679,pizza,3479,has,7371,something,3203,after,7413,tried,3156,other,7263,bar,3128,some,7363,menu,3123,more,7267,friendly,3037
95,It's,5402,store,2450,could,6517,asked,2965,ordered,9027,pizza,3988,I've,9213,lot,3999,did,9191,cheese,3861,never,8655,friendly,3674,also,8044,pizza,3577,over,7600,tried,3364,said,7369,work,3183,can,7404,find,3153,do,7228,work,3109,can,7316,tried,3107,after,7252,manager,2989
96,best,5381,cheese,2417,us,6474,pizza,2928,she,8806,every,3983,My,8819,thing,3974,I'm,8832,day,3855,I'm,8432,food.,3660,than,7998,small,3531,also,7530,small,3359,told,7304,every,3172,do,7361,left,3082,can,7212,service.,3108,order,7282,bad,3106,I'm,7202,bad,2958
97,think,5335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"I""",2414,he,6226,food.,2918,much,8708,thing,3949,never,8770,tried,3973,after,8830,need,3764,came,8320,can't,3652,after,7977,can't,3525,than,7489,3,3358,order,7159,left,3144,her,7293,back.,3041,has,7207,tried,3092,has,7250,bar,3084,other,7108,good.,2911,,,
98,nice,5179,need,2398,ordered,6215,2,2914,My,8507,looking,3921,little,8744,looking,3916,never,8819,friendly,3750,after,8316,every,3644,it's,7812,bit,3506,told,7479,every,3285,her,7140,tried,3141,over,7085,Great,3024,her,7155,3,3084,her,7212,long,3082,also,7066,location,2877
99,too,5120,here.,2393,My,6211,told,2897,pretty,8479,tried,3873,after,8695,actually,3861,over,8512,long,3724,over,8306,left,3583,over,7785,left,3475,order,7413,long,3231,over,7113,car,3134,has,6933,cheese,3012,over,6993,long,3045,over,7118,call,3068,some,6966,everything,2870
100,love,5059,usually,2385,too,6191,place.,2888,went,8334,food.,3864,went,8588,food.,3843,came,8502,food.,3723,it's,8258,long,3570,I'm,7769,night,3459,-,7396,can't,3219,I'm,7053,Great,3120,also,6815,long,3007,I'm,6757,call,3017,also,7029,every,2996,over,6871,service.,2848
