column_0,2008_SW,2008_SW_ct,2008_no_SW,2008_no_SW_ct,2009_SW,2009_SW_ct,2009_no_SW,2009_no_SW_ct,2010_SW,2010_SW_ct,2010_no_SW,2010_no_SW_ct,2011_SW,2011_SW_ct,2011_no_SW,2011_no_SW_ct,2012_SW,2012_SW_ct,2012_no_SW,2012_no_SW_ct,2013_SW,2013_SW_ct,2013_no_SW,2013_no_SW_ct,2014_SW,2014_SW_ct,2014_no_SW,2014_no_SW_ct,2015_SW,2015_SW_ct,2015_no_SW,2015_no_SW_ct,2016_SW,2016_SW_ct,2016_no_SW,2016_no_SW_ct,2017_SW,2017_SW_ct,2017_no_SW,2017_no_SW_ct,2018_SW,2018_SW_ct,2018_no_SW,2018_no_SW_ct,2019_SW,2019_SW_ct,2019_no_SW,2019_no_SW_ct,2020_SW,2020_SW_ct,2020_no_SW,2020_no_SW_ct
21,are,24297,got,5872,this,29437,pretty,7037,not,40582,could,9277,not,41599,ordered,9241,they,40338,I'm,8832,they,38781,never,8655,not,36611,came,8052,have,34017,also,7530,this,32172,said,7369,this,31815,said,7488,this,31406,never,7577,this,31902,never,7727,have,32125,could,7480
22,this,23511,much,5693,not,28155,much,6818,this,39908,little,9184,this,40324,I've,9213,had,39997,never,8819,this,38148,I'm,8432,had,35316,also,8044,this,33402,told,7479,have,32116,told,7304,had,31356,order,7455,we,30742,could,7523,we,31416,could,7395,but,30463,really,7345
23,they,21890,people,5555,had,27526,could,6517,had,38547,ordered,9027,had,39794,never,8770,this,39959,came,8502,had,38085,came,8320,this,35021,I'm,7769,had,33347,order,7413,had,31681,order,7159,were,30887,could,7441,were,30634,order,7426,were,30737,order,7282,had,29162,I'm,7202
24,at,21314,best,5381,they,26960,us,6474,they,37726,much,8708,they,39338,little,8744,you,39145,went,8415,were,36880,went,8144,were,34409,told,7419,were,32896,-,7396,were,31373,I'm,7053,have,30808,also,6815,had,30585,I'm,6757,have,30524,also,7029,we,28519,also,7066
25,not,20501,think,5335,at,26741,ordered,6215,were,37226,pretty,8479,were,38551,went,8588,were,38747,I've,8318,you,36048,I've,7659,we,33403,I've,7339,we,32055,said,7296,we,30813,also,6934,we,30584,I'm,6747,have,30194,also,6664,had,30464,I'm,6919,were,28212,came,6857
26,had,19397,nice,5179,were,26043,people,6101,at,35288,went,8334,at,36178,much,8550,we,36979,little,8098,we,35764,told,7442,you,31900,said,7325,you,29398,I'm,7146,you,27520,went,6584,at,26143,went,6430,you,25776,went,6341,at,25697,asked,6415,you,26520,went,6314
27,null,18662,love,5059,are,25867,think,5946,we,34486,people,7989,we,35890,came,8109,at,35313,much,7915,at,33048,little,7432,at,29855,went,7309,at,28566,went,6775,at,26708,I've,6502,you,26024,I've,6272,at,25659,asked,6194,you,25582,went,6316,at,24736,I've,6297
28,place,17660,know,4988,we,23761,went,5931,are,32154,never,7978,are,31075,pretty,8026,are,29944,going,7650,be,28732,said,7279,be,26874,order,7105,be,25416,I've,6733,be,24332,-,6418,be,23786,asked,6142,be,23582,come,6023,be,23485,I've,6270,be,24243,asked,6236
29,as,17632,could,4915,be,21515,never,5894,be,29248,going,7786,be,29918,people,7861,be,29868,people,7489,are,28559,going,7202,are,26210,little,6499,are,24410,asked,6331,are,22457,come,6060,are,21441,-,6083,so,21456,I've,6008,so,21691,come,6035,are,22149,going,5928
30,so,17390,service,4830,as,21226,best,5892,so,27212,think,7743,so,27494,it.,7625,so,26928,make,7325,so,25464,order,7147,so,23792,going,6454,so,22645,it.,6169,so,22068,asked,6023,so,21435,come,5961,are,20794,staff,5710,are,20883,going,5692,so,21965,people,5839
31,be,17109,never,4814,so,20284,always,5812,as,26128,came,7680,as,25901,going,7567,as,25730,told,7305,as,23728,much,7136,as,21519,make,6453,as,19795,people,6068,me,19010,it.,5821,me,18557,it.,5672,me,18523,first,5552,me,19137,it.,5630,me,21820,come,5766
32,were,16528,make,4798,place,19779,nice,5808,place,24457,know,7478,place,23156,make,7264,me,22316,order,7272,me,21859,it.,7038,me,20420,people,6420,me,19605,come,6054,as,18733,going,5801,food,18168,staff,5611,our,18371,it.,5487,our,18380,first,5475,as,17941,make,5556
33,like,16359,it.,4484,like,18270,make,5564,like,24261,nice,7413,like,23062,know,7201,place,22156,it.,7209,place,20627,make,6978,food,19429,it.,6379,food,18820,going,5932,food,18541,people,5728,as,17807,going,5550,food,18264,going,5417,food,17836,staff,5458,our,16622,made,5550
34,we,15069,going,4393,just,16560,it.,5529,just,22865,it.,7312,just,22350,think,7128,like,21610,said,7169,food,20186,people,6923,our,19112,asked,6357,our,18449,staff,5863,our,17992,make,5679,our,17803,first,5496,as,17521,made,5324,as,17550,people,5373,We,16323,staff,5484
35,just,14254,find,4344,food,15995,know,5446,food,21502,make,7248,me,22022,two,7097,just,21352,two,7026,our,19715,know,6678,place,19106,much,6252,very,17735,first,5834,very,16858,staff,5640,We,16745,people,5439,We,17297,-,5315,We,17350,make,5352,out,16055,take,5380
36,or,14116,went,4336,or,15327,came,5446,or,20106,two,7029,food,21430,nice,7079,food,20829,know,6981,just,19680,two,6641,very,18213,come,6178,place,17715,little,5803,We,16558,made,5525,place,16316,make,5431,very,15900,make,5304,out,15745,made,5287,food,15614,first,5373
37,get,13298,want,4313,good,15308,going,5303,out,20078,always,6890,out,20663,order,7058,our,20526,first,6845,like,19641,asked,6488,just,17945,first,6123,out,16562,two,5781,place,16439,first,5511,very,16201,minutes,5417,place,15621,people,5233,very,15670,-,5155,get,15482,called,5295
38,good,12678,us,4195,from,14887,first,5240,me,19959,better,6836,get,20014,first,6990,out,20079,nice,6821,out,19163,first,6466,like,17657,two,6118,just,16494,make,5770,out,16028,two,5459,out,15583,made,5373,out,15536,minutes,5167,get,15237,took,5128,from,15320,always,5257
39,all,12571,bar,4088,get,14833,two,5201,get,19819,first,6814,or,19598,said,6803,very,19748,pretty,6819,very,18817,made,6278,out,17543,nice,6106,We,16489,nice,5704,just,15466,little,5361,get,15182,two,5329,get,14983,restaurant,5044,place,15008,minutes,5107,would,15169,customer,5191
